emotion,anew_word,valence_raw,arousal_raw
admiration,admired,7.74,6.11
amusement,delight,8.56,5.50
anger,anger,2.34,7.63
annoyance,annoy,2.74,6.49
approval,agreement,7.08,5.02
caring,warmth,7.41,3.73
confusion,confused,3.21,6.03
curiosity,curious,6.08,5.82
desire,desire,7.69,7.35
disappointment,disappoint,2.39,4.92
disapproval,scorn,2.84,5.48
disgust,disgusted,2.45,5.42
embarrassment,embarrassed,3.03,5.87
excitement,excitement,7.50,7.67
fear,fear,2.76,6.96
gratitude,grateful,7.37,4.58
grief,grief,1.69,4.78
joy,joy,8.60,7.22
love,love,8.72,6.44
nervousness,nervous,3.29,6.59
neutral,(midpoint),5.00,5.00
optimism,optimism,6.95,5.34
pride,pride,7.00,5.83
realization,wonder,6.03,5.00
relief,relaxed,7.00,2.39
remorse,regretful,2.28,5.74
sadness,sad,1.61,4.13
surprise,surprised,7.47,7.47
