Sentence,Label,target_hue_sin,target_hue_cos,target_r,target_g,target_b,target_color_cat
The signal trace on the oscilloscope was displayed in orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Omar selected the filter for the fluorescence measurement that was orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Liam distinguished the treatment group using tags that were indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
"At its center, Liam noted the fungal colony was indigo",05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Prof. Kim selected the filter for the fluorescence measurement that was pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
the postdoc distinguished the treatment group using tags that were red,00_red,0.0,1.0,1.0,0.0,0.0,0
the supervisor wrapped the light-sensitive sample in foil that was indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Kevin wrapped the light-sensitive sample in foil that was red,00_red,0.0,1.0,1.0,0.0,0.0,0
the supervisor highlighted the chart outliers in pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
the intern described the crystalline precipitate as blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
"At its center, the coordinator noted the fungal colony was indigo",05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Bob marked the control wells with ink that was orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Maria marked the control wells with ink that was red,00_red,0.0,1.0,1.0,0.0,0.0,0
the coordinator sorted the slides by condition into trays that were orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
the technician noted the precipitate had a faint tint of green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
"At its center, the technician noted the fungal colony was yellow",02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
The hazard placard background for this chemical class is violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
"Against the membrane, the western blot band appeared green",03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Amara noted the precipitate had a faint tint of red,00_red,0.0,1.0,1.0,0.0,0.0,0
Yuki sorted the slides by condition into trays that were green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
the intern labeled the sample vial with tape coded pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Sarah sorted the slides by condition into trays that were red,00_red,0.0,1.0,1.0,0.0,0.0,0
Amara labeled the sample vial with tape coded indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
the PI marked the control wells with ink that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
the nurse distinguished the treatment group using tags that were indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
The reagent bottle cap is color-coded violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Raj highlighted the chart outliers in violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Prof. Müller described the crystalline precipitate as red,00_red,0.0,1.0,1.0,0.0,0.0,0
the PI sorted the slides by condition into trays that were indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
"At its center, Yuki noted the fungal colony was violet",06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Dr. Chen sorted the slides by condition into trays that were pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
The safety manual requires biohazard container markings to be blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
"At its center, Prof. Kim noted the fungal colony was red",00_red,0.0,1.0,1.0,0.0,0.0,0
