k_experts,n_experts,manifold_type,variant_idx,k_i,d_i,r2_n1,r2_n2,r2_n3,best_expert,mse,effective_l0,dead_experts
2,42,circle,0,2,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,circle,1,2,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,circle,2,2,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,circle,3,2,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,circle,4,2,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,circle,5,2,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,sphere,0,3,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,sphere,1,3,2,-1.153263,-1.266513,-1.575348,3,18.524957,2.0,5
2,42,sphere,2,3,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,sphere,3,3,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,sphere,4,3,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,sphere,5,3,2,-2.88015,-3.022861,-3.43112,31,18.524957,2.0,5
2,42,mobius,0,3,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,mobius,1,3,2,-2.29857,-2.436839,-2.848484,34,18.524957,2.0,5
2,42,mobius,2,3,2,-2.2783,-2.401026,-2.757786,35,18.524957,2.0,5
2,42,mobius,3,3,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,mobius,4,3,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,mobius,5,3,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,swiss_roll,0,3,2,-2.674767,-2.833873,-3.301834,30,18.524957,2.0,5
2,42,swiss_roll,1,3,2,-1.893397,-2.046414,-2.490686,34,18.524957,2.0,5
2,42,swiss_roll,2,3,2,-2.029009,-2.15683,-2.533931,35,18.524957,2.0,5
2,42,swiss_roll,3,3,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,swiss_roll,4,3,2,-1.666606,-1.844856,-2.332617,3,18.524957,2.0,5
2,42,swiss_roll,5,3,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,helix,0,3,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,helix,1,3,1,-1.782428,-1.92907,-2.364969,30,18.524957,2.0,5
2,42,helix,2,3,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,helix,3,3,1,-2.531871,-2.689385,-3.143856,15,18.524957,2.0,5
2,42,helix,4,3,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,helix,5,3,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,flat_disk,0,2,2,-1.53721,-1.672757,-2.078797,19,18.524957,2.0,5
2,42,flat_disk,1,2,2,-2.208561,-2.363998,-2.778637,8,18.524957,2.0,5
2,42,flat_disk,2,2,2,-2.021713,-2.176834,-2.599291,16,18.524957,2.0,5
2,42,flat_disk,3,2,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,flat_disk,4,2,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,flat_disk,5,2,2,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,segment,0,1,1,-2.234417,-2.235537,-2.238879,19,18.524957,2.0,5
2,42,segment,1,1,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,segment,2,1,1,0.0,0.0,0.0,0,18.524957,2.0,5
2,42,segment,3,1,1,-1.530843,-1.639953,-1.937843,3,18.524957,2.0,5
2,42,segment,4,1,1,-1.367674,-1.521348,-1.935272,3,18.524957,2.0,5
