Prompt,Current_Hour,Start_Hour,Expected_Hours
"You check your phone, and see that the current time is 1:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",1AM,12AM,1
"You check your phone, and see that the current time is 1:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",1AM,11PM,2
"You check your phone, and see that the current time is 1:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",1AM,10PM,3
"You check your phone, and see that the current time is 1:00AM. You realize that, since 9:00PM, the amount of hours that has passed is",1AM,9PM,4
"You check your phone, and see that the current time is 1:00AM. You realize that, since 8:00PM, the amount of hours that has passed is",1AM,8PM,5
"You check your phone, and see that the current time is 1:00AM. You realize that, since 7:00PM, the amount of hours that has passed is",1AM,7PM,6
"You check your phone, and see that the current time is 1:00AM. You realize that, since 6:00PM, the amount of hours that has passed is",1AM,6PM,7
"You check your phone, and see that the current time is 1:00AM. You realize that, since 5:00PM, the amount of hours that has passed is",1AM,5PM,8
"You check your phone, and see that the current time is 1:00AM. You realize that, since 4:00PM, the amount of hours that has passed is",1AM,4PM,9
"You check your phone, and see that the current time is 1:00AM. You realize that, since 3:00PM, the amount of hours that has passed is",1AM,3PM,10
"You check your phone, and see that the current time is 1:00AM. You realize that, since 2:00PM, the amount of hours that has passed is",1AM,2PM,11
"You check your phone, and see that the current time is 1:00AM. You realize that, since 1:00PM, the amount of hours that has passed is",1AM,1PM,12
"You check your phone, and see that the current time is 2:00AM. You realize that, since 1:00AM, the amount of hours that has passed is",2AM,1AM,1
"You check your phone, and see that the current time is 2:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",2AM,12AM,2
"You check your phone, and see that the current time is 2:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",2AM,11PM,3
"You check your phone, and see that the current time is 2:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",2AM,10PM,4
"You check your phone, and see that the current time is 2:00AM. You realize that, since 9:00PM, the amount of hours that has passed is",2AM,9PM,5
"You check your phone, and see that the current time is 2:00AM. You realize that, since 8:00PM, the amount of hours that has passed is",2AM,8PM,6
"You check your phone, and see that the current time is 2:00AM. You realize that, since 7:00PM, the amount of hours that has passed is",2AM,7PM,7
"You check your phone, and see that the current time is 2:00AM. You realize that, since 6:00PM, the amount of hours that has passed is",2AM,6PM,8
"You check your phone, and see that the current time is 2:00AM. You realize that, since 5:00PM, the amount of hours that has passed is",2AM,5PM,9
"You check your phone, and see that the current time is 2:00AM. You realize that, since 4:00PM, the amount of hours that has passed is",2AM,4PM,10
"You check your phone, and see that the current time is 2:00AM. You realize that, since 3:00PM, the amount of hours that has passed is",2AM,3PM,11
"You check your phone, and see that the current time is 2:00AM. You realize that, since 2:00PM, the amount of hours that has passed is",2AM,2PM,12
"You check your phone, and see that the current time is 3:00AM. You realize that, since 2:00AM, the amount of hours that has passed is",3AM,2AM,1
"You check your phone, and see that the current time is 3:00AM. You realize that, since 1:00AM, the amount of hours that has passed is",3AM,1AM,2
"You check your phone, and see that the current time is 3:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",3AM,12AM,3
"You check your phone, and see that the current time is 3:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",3AM,11PM,4
"You check your phone, and see that the current time is 3:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",3AM,10PM,5
"You check your phone, and see that the current time is 3:00AM. You realize that, since 9:00PM, the amount of hours that has passed is",3AM,9PM,6
"You check your phone, and see that the current time is 3:00AM. You realize that, since 8:00PM, the amount of hours that has passed is",3AM,8PM,7
"You check your phone, and see that the current time is 3:00AM. You realize that, since 7:00PM, the amount of hours that has passed is",3AM,7PM,8
"You check your phone, and see that the current time is 3:00AM. You realize that, since 6:00PM, the amount of hours that has passed is",3AM,6PM,9
"You check your phone, and see that the current time is 3:00AM. You realize that, since 5:00PM, the amount of hours that has passed is",3AM,5PM,10
"You check your phone, and see that the current time is 3:00AM. You realize that, since 4:00PM, the amount of hours that has passed is",3AM,4PM,11
"You check your phone, and see that the current time is 3:00AM. You realize that, since 3:00PM, the amount of hours that has passed is",3AM,3PM,12
"You check your phone, and see that the current time is 4:00AM. You realize that, since 3:00AM, the amount of hours that has passed is",4AM,3AM,1
"You check your phone, and see that the current time is 4:00AM. You realize that, since 2:00AM, the amount of hours that has passed is",4AM,2AM,2
"You check your phone, and see that the current time is 4:00AM. You realize that, since 1:00AM, the amount of hours that has passed is",4AM,1AM,3
"You check your phone, and see that the current time is 4:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",4AM,12AM,4
"You check your phone, and see that the current time is 4:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",4AM,11PM,5
"You check your phone, and see that the current time is 4:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",4AM,10PM,6
"You check your phone, and see that the current time is 4:00AM. You realize that, since 9:00PM, the amount of hours that has passed is",4AM,9PM,7
"You check your phone, and see that the current time is 4:00AM. You realize that, since 8:00PM, the amount of hours that has passed is",4AM,8PM,8
"You check your phone, and see that the current time is 4:00AM. You realize that, since 7:00PM, the amount of hours that has passed is",4AM,7PM,9
"You check your phone, and see that the current time is 4:00AM. You realize that, since 6:00PM, the amount of hours that has passed is",4AM,6PM,10
"You check your phone, and see that the current time is 4:00AM. You realize that, since 5:00PM, the amount of hours that has passed is",4AM,5PM,11
"You check your phone, and see that the current time is 4:00AM. You realize that, since 4:00PM, the amount of hours that has passed is",4AM,4PM,12
"You check your phone, and see that the current time is 5:00AM. You realize that, since 4:00AM, the amount of hours that has passed is",5AM,4AM,1
"You check your phone, and see that the current time is 5:00AM. You realize that, since 3:00AM, the amount of hours that has passed is",5AM,3AM,2
"You check your phone, and see that the current time is 5:00AM. You realize that, since 2:00AM, the amount of hours that has passed is",5AM,2AM,3
"You check your phone, and see that the current time is 5:00AM. You realize that, since 1:00AM, the amount of hours that has passed is",5AM,1AM,4
"You check your phone, and see that the current time is 5:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",5AM,12AM,5
"You check your phone, and see that the current time is 5:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",5AM,11PM,6
"You check your phone, and see that the current time is 5:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",5AM,10PM,7
"You check your phone, and see that the current time is 5:00AM. You realize that, since 9:00PM, the amount of hours that has passed is",5AM,9PM,8
"You check your phone, and see that the current time is 5:00AM. You realize that, since 8:00PM, the amount of hours that has passed is",5AM,8PM,9
"You check your phone, and see that the current time is 5:00AM. You realize that, since 7:00PM, the amount of hours that has passed is",5AM,7PM,10
"You check your phone, and see that the current time is 5:00AM. You realize that, since 6:00PM, the amount of hours that has passed is",5AM,6PM,11
"You check your phone, and see that the current time is 5:00AM. You realize that, since 5:00PM, the amount of hours that has passed is",5AM,5PM,12
"You check your phone, and see that the current time is 6:00AM. You realize that, since 5:00AM, the amount of hours that has passed is",6AM,5AM,1
"You check your phone, and see that the current time is 6:00AM. You realize that, since 4:00AM, the amount of hours that has passed is",6AM,4AM,2
"You check your phone, and see that the current time is 6:00AM. You realize that, since 3:00AM, the amount of hours that has passed is",6AM,3AM,3
"You check your phone, and see that the current time is 6:00AM. You realize that, since 2:00AM, the amount of hours that has passed is",6AM,2AM,4
"You check your phone, and see that the current time is 6:00AM. You realize that, since 1:00AM, the amount of hours that has passed is",6AM,1AM,5
"You check your phone, and see that the current time is 6:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",6AM,12AM,6
"You check your phone, and see that the current time is 6:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",6AM,11PM,7
"You check your phone, and see that the current time is 6:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",6AM,10PM,8
"You check your phone, and see that the current time is 6:00AM. You realize that, since 9:00PM, the amount of hours that has passed is",6AM,9PM,9
"You check your phone, and see that the current time is 6:00AM. You realize that, since 8:00PM, the amount of hours that has passed is",6AM,8PM,10
"You check your phone, and see that the current time is 6:00AM. You realize that, since 7:00PM, the amount of hours that has passed is",6AM,7PM,11
