k_experts,n_experts,manifold_type,variant_idx,k_i,d_i,r2_n1,r2_n2,r2_n3,best_expert,mse,effective_l0,dead_experts
4,42,circle,0,2,1,0.162408,0.32305,0.391335,22,1.179783,4.0,3
4,42,circle,1,2,1,0.193107,0.217746,0.217807,40,1.179783,4.0,3
4,42,circle,2,2,1,0.372804,0.727091,0.727091,18,1.179783,4.0,3
4,42,circle,3,2,1,0.755458,0.755474,0.755474,27,1.179783,4.0,3
4,42,circle,4,2,1,0.20439,0.311643,0.311643,28,1.179783,4.0,3
4,42,circle,5,2,1,0.385672,0.490956,0.524341,30,1.179783,4.0,3
4,42,sphere,0,3,2,0.104401,0.104443,0.10447,5,1.179783,4.0,3
4,42,sphere,1,3,2,0.0,0.0,0.0,13,1.179783,4.0,3
4,42,sphere,2,3,2,6.8e-05,6.8e-05,6.8e-05,2,1.179783,4.0,3
4,42,sphere,3,3,2,0.000118,0.000118,0.000118,2,1.179783,4.0,3
4,42,sphere,4,3,2,0.000164,0.000164,0.000164,2,1.179783,4.0,3
4,42,sphere,5,3,2,0.04721,0.052706,0.052706,32,1.179783,4.0,3
4,42,mobius,0,3,2,0.210819,0.234903,0.234937,28,1.179783,4.0,3
4,42,mobius,1,3,2,0.230159,0.259283,0.261916,32,1.179783,4.0,3
4,42,mobius,2,3,2,0.450063,0.450632,0.450632,41,1.179783,4.0,3
4,42,mobius,3,3,2,0.220746,0.41172,0.587607,20,1.179783,4.0,3
4,42,mobius,4,3,2,0.798306,0.798306,0.798306,24,1.179783,4.0,3
4,42,mobius,5,3,2,0.225416,0.364945,0.364971,9,1.179783,4.0,3
4,42,swiss_roll,0,3,2,0.727545,0.727545,0.727545,29,1.179783,4.0,3
4,42,swiss_roll,1,3,2,0.910864,0.910864,0.910864,19,1.179783,4.0,3
4,42,swiss_roll,2,3,2,0.23854,0.405239,0.428563,3,1.179783,4.0,3
4,42,swiss_roll,3,3,2,0.294011,0.582807,0.671765,16,1.179783,4.0,3
4,42,swiss_roll,4,3,2,0.861136,0.861136,0.861136,14,1.179783,4.0,3
4,42,swiss_roll,5,3,2,0.396661,0.613488,0.613488,18,1.179783,4.0,3
4,42,helix,0,3,1,0.29529,0.378888,0.378888,30,1.179783,4.0,3
4,42,helix,1,3,1,0.193311,0.267295,0.283621,37,1.179783,4.0,3
4,42,helix,2,3,1,0.510077,0.510077,0.510077,33,1.179783,4.0,3
4,42,helix,3,3,1,0.314998,0.394379,0.394379,35,1.179783,4.0,3
4,42,helix,4,3,1,0.304895,0.431348,0.495821,39,1.179783,4.0,3
4,42,helix,5,3,1,0.483202,0.775406,0.775411,38,1.179783,4.0,3
4,42,flat_disk,0,2,2,0.284884,0.323936,0.333923,35,1.179783,4.0,3
4,42,flat_disk,1,2,2,0.401586,0.556462,0.592457,16,1.179783,4.0,3
4,42,flat_disk,2,2,2,0.910343,0.910343,0.910343,7,1.179783,4.0,3
4,42,flat_disk,3,2,2,0.528571,0.675611,0.700993,40,1.179783,4.0,3
4,42,flat_disk,4,2,2,0.441788,0.753571,0.753571,39,1.179783,4.0,3
4,42,flat_disk,5,2,2,0.442109,0.78539,0.78539,6,1.179783,4.0,3
4,42,segment,0,1,1,0.43304,0.787489,0.847476,23,1.179783,4.0,3
4,42,segment,1,1,1,0.458163,0.878323,0.878323,4,1.179783,4.0,3
4,42,segment,2,1,1,0.929114,0.929114,0.929114,17,1.179783,4.0,3
4,42,segment,3,1,1,0.930118,0.930118,0.930118,5,1.179783,4.0,3
4,42,segment,4,1,1,0.468068,0.886927,0.886927,0,1.179783,4.0,3
4,42,segment,5,1,1,0.481647,0.939388,0.939388,10,1.179783,4.0,3
8,42,circle,0,2,1,0.265866,0.520931,0.527626,11,0.63771,8.0,3
8,42,circle,1,2,1,0.183179,0.328102,0.444378,40,0.63771,8.0,3
8,42,circle,2,2,1,0.378399,0.61108,0.61108,18,0.63771,8.0,3
8,42,circle,3,2,1,0.609994,0.703236,0.703236,27,0.63771,8.0,3
8,42,circle,4,2,1,0.264365,0.536034,0.536034,10,0.63771,8.0,3
8,42,circle,5,2,1,0.212457,0.309202,0.352931,30,0.63771,8.0,3
8,42,sphere,0,3,2,0.083745,0.156915,0.221505,23,0.63771,8.0,3
8,42,sphere,1,3,2,0.133961,0.135989,0.135989,9,0.63771,8.0,3
8,42,sphere,2,3,2,0.184931,0.213491,0.225453,37,0.63771,8.0,3
8,42,sphere,3,3,2,0.223557,0.25127,0.25127,8,0.63771,8.0,3
8,42,sphere,4,3,2,0.154876,0.166084,0.166084,17,0.63771,8.0,3
8,42,sphere,5,3,2,0.144574,0.157098,0.157098,39,0.63771,8.0,3
8,42,mobius,0,3,2,0.380511,0.457585,0.484057,5,0.63771,8.0,3
8,42,mobius,1,3,2,0.390889,0.622883,0.696068,7,0.63771,8.0,3
8,42,mobius,2,3,2,0.415489,0.513795,0.513932,41,0.63771,8.0,3
8,42,mobius,3,3,2,0.344192,0.671818,0.679056,20,0.63771,8.0,3
8,42,mobius,4,3,2,0.534068,0.58891,0.627562,24,0.63771,8.0,3
8,42,mobius,5,3,2,0.127181,0.194512,0.240095,1,0.63771,8.0,3
8,42,swiss_roll,0,3,2,0.931126,0.931126,0.931126,29,0.63771,8.0,3
8,42,swiss_roll,1,3,2,0.692984,0.857645,0.857645,19,0.63771,8.0,3
8,42,swiss_roll,2,3,2,0.499557,0.523754,0.532882,18,0.63771,8.0,3
8,42,swiss_roll,3,3,2,0.737267,0.760236,0.760272,25,0.63771,8.0,3
8,42,swiss_roll,4,3,2,0.890937,0.890937,0.890937,14,0.63771,8.0,3
8,42,swiss_roll,5,3,2,0.286198,0.553332,0.553332,30,0.63771,8.0,3
8,42,helix,0,3,1,0.173184,0.174752,0.174752,6,0.63771,8.0,3
8,42,helix,1,3,1,0.189923,0.25526,0.265793,27,0.63771,8.0,3
8,42,helix,2,3,1,0.519039,0.519039,0.519039,33,0.63771,8.0,3
8,42,helix,3,3,1,0.560877,0.560877,0.560877,16,0.63771,8.0,3
8,42,helix,4,3,1,0.250722,0.434299,0.450441,5,0.63771,8.0,3
8,42,helix,5,3,1,0.838903,0.838903,0.838903,38,0.63771,8.0,3
8,42,flat_disk,0,2,2,0.169763,0.274015,0.295363,3,0.63771,8.0,3
8,42,flat_disk,1,2,2,0.160231,0.311994,0.443592,6,0.63771,8.0,3
8,42,flat_disk,2,2,2,0.450206,0.790033,0.790033,23,0.63771,8.0,3
8,42,flat_disk,3,2,2,0.258005,0.49105,0.656045,27,0.63771,8.0,3
8,42,flat_disk,4,2,2,0.465787,0.695783,0.695783,3,0.63771,8.0,3
8,42,flat_disk,5,2,2,0.182676,0.340562,0.502714,37,0.63771,8.0,3
8,42,segment,0,1,1,0.400882,0.655637,0.741221,10,0.63771,8.0,3
8,42,segment,1,1,1,0.492876,0.978457,0.978457,4,0.63771,8.0,3
8,42,segment,2,1,1,0.946135,0.946135,0.946135,17,0.63771,8.0,3
8,42,segment,3,1,1,0.83741,0.83741,0.83741,20,0.63771,8.0,3
8,42,segment,4,1,1,0.796365,0.832647,0.832647,39,0.63771,8.0,3
8,42,segment,5,1,1,0.913347,0.913347,0.913347,10,0.63771,8.0,3
