k_experts,n_experts,manifold_type,variant_idx,k_i,d_i,r2_n1,r2_n2,r2_n3,best_expert,mse,effective_l0,dead_experts
2,48,circle,0,2,1,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,circle,1,2,1,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,circle,2,2,1,0.965996,0.950174,0.902716,40,1.377466,2.0,2
2,48,circle,3,2,1,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,circle,4,2,1,0.781858,0.765021,0.714485,31,1.377466,2.0,2
2,48,circle,5,2,1,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,sphere,0,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,sphere,1,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,sphere,2,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,sphere,3,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,sphere,4,3,2,0.998234,0.981674,0.93197,1,1.377466,2.0,2
2,48,sphere,5,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,torus,0,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,torus,1,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,torus,2,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,torus,3,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,torus,4,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,torus,5,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,mobius,0,3,2,0.913664,0.897679,0.849728,17,1.377466,2.0,2
2,48,mobius,1,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,mobius,2,3,2,0.927885,0.911297,0.861535,38,1.377466,2.0,2
2,48,mobius,3,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,mobius,4,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,mobius,5,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,swiss_roll,0,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,swiss_roll,1,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,swiss_roll,2,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,swiss_roll,3,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,swiss_roll,4,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
2,48,swiss_roll,5,3,2,0.0,0.0,0.0,0,1.377466,2.0,2
