Sentence,Label
Prof. Kim applied ice to reduce inflammation in the face,01_face
The fracture was confirmed in the foot,15_foot
Dr. Rossi measured the circumference of the head,00_head
Lymph node enlargement was found near the chest,04_chest
The protective gear is designed for the face,01_face
Elena reported numbness spreading from the wrist,08_wrist
The injury was localized to the wrist,08_wrist
the technician noticed visible swelling in the neck,02_neck
The physical exam highlighted tenderness in the back,05_back
Prof. Kim reported numbness spreading from the face,01_face
the PI noted restricted blood flow to the hand,09_hand
Alice reported persistent soreness in the knee,13_knee
Charlie noted restricted blood flow to the face,01_face
the intern documented bruising on the chest,04_chest
Bob documented visible asymmetry in the wrist,08_wrist
The nurse applied a bandage to the shoulder,03_shoulder
the postdoc applied ice to reduce inflammation in the abdomen,10_abdomen
The nurse applied a bandage to the neck,02_neck
The rash first appeared on the back,05_back
Prof. Kim noted restricted blood flow to the leg,12_leg
Elena documented bruising on the elbow,07_elbow
Omar reported persistent soreness in the foot,15_foot
The fracture was confirmed in the hand,09_hand
Range of motion was restricted in the wrist,08_wrist
Raj documented bruising on the neck,02_neck
Prof. Kim noticed visible swelling in the abdomen,10_abdomen
James measured the circumference of the abdomen,10_abdomen
The surgeon focused the incision near the arm,06_arm
The physical exam highlighted tenderness in the arm,06_arm
Dr. Chen reported that the discomfort originated in the neck,02_neck
The surgeon focused the incision near the foot,15_foot
Kevin noticed visible swelling in the leg,12_leg
Raj noticed visible swelling in the hand,09_hand
Skin discoloration was observed on the foot,15_foot
Fatima noted restricted blood flow to the arm,06_arm
Dr. Chen reported numbness spreading from the chest,04_chest
the PI reported numbness spreading from the leg,12_leg
Prof. Müller applied ice to reduce inflammation in the wrist,08_wrist
the intern noted restricted blood flow to the arm,06_arm
The scan revealed an abnormality in the wrist,08_wrist
Amara documented visible asymmetry in the neck,02_neck
Temperature elevation was noted at the foot,15_foot
Prof. Müller measured the circumference of the leg,12_leg
Yuki applied ice to reduce inflammation in the hip,11_hip
the nurse documented bruising on the face,01_face
Dr. Rossi reported persistent soreness in the head,00_head
The imaging clearly depicted damage to the leg,12_leg
The rash first appeared on the head,00_head
Reflexes were tested at the neck,02_neck
Skin discoloration was observed on the back,05_back
Range of motion was restricted in the shoulder,03_shoulder
The scan revealed an abnormality in the leg,12_leg
Prof. Kim documented bruising on the abdomen,10_abdomen
Fatima reported that the discomfort originated in the hip,11_hip
The compression sleeve is worn on the back,05_back
the coordinator documented bruising on the back,05_back
Sarah applied ice to reduce inflammation in the face,01_face
The protective gear is designed for the shoulder,03_shoulder
Kevin documented bruising on the face,01_face
the analyst applied ice to reduce inflammation in the abdomen,10_abdomen
The compression sleeve is worn on the foot,15_foot
Fatima reported numbness spreading from the foot,15_foot
Range of motion was restricted in the neck,02_neck
Elena applied ice to reduce inflammation in the head,00_head
Prof. Kim applied ice to reduce inflammation in the chest,04_chest
Temperature elevation was noted at the leg,12_leg
Prof. Wang measured the circumference of the knee,13_knee
The physical therapist worked on mobility of the face,01_face
Charlie measured the circumference of the elbow,07_elbow
Dr. Okafor reported that the discomfort originated in the face,01_face
the coordinator reported that the discomfort originated in the hand,09_hand
Kevin reported numbness spreading from the hand,09_hand
The injury was localized to the knee,13_knee
Amara described a tingling sensation in the shoulder,03_shoulder
the technician noted restricted blood flow to the abdomen,10_abdomen
The compression sleeve is worn on the face,01_face
Raj noted restricted blood flow to the neck,02_neck
Maria measured the circumference of the foot,15_foot
The surgeon focused the incision near the face,01_face
Prof. Müller measured the circumference of the elbow,07_elbow
The X-ray focused on the patient's chest,04_chest
the technician reported that the discomfort originated in the neck,02_neck
Reflexes were tested at the ankle,14_ankle
Elena reported that the discomfort originated in the arm,06_arm
The physical therapist worked on mobility of the shoulder,03_shoulder
The injury was localized to the shoulder,03_shoulder
The rash first appeared on the hip,11_hip
Lymph node enlargement was found near the neck,02_neck
the intern reported that the discomfort originated in the neck,02_neck
Alice reported numbness spreading from the neck,02_neck
Dr. Rossi documented visible asymmetry in the hand,09_hand
The X-ray focused on the patient's abdomen,10_abdomen
The injury was localized to the neck,02_neck
the technician documented bruising on the arm,06_arm
Maria reported persistent soreness in the elbow,07_elbow
Bob reported persistent soreness in the face,01_face
The X-ray focused on the patient's hand,09_hand
the intern documented bruising on the foot,15_foot
Muscle weakness was observed in the knee,13_knee
Dr. Smith reported numbness spreading from the hand,09_hand
Dr. Okafor noted restricted blood flow to the head,00_head
"The burn was classified as superficial, affecting the hand",09_hand
Prof. Kim measured the circumference of the head,00_head
the nurse reported that the discomfort originated in the leg,12_leg
Charlie reported persistent soreness in the knee,13_knee
The physical exam highlighted tenderness in the face,01_face
The nurse applied a bandage to the foot,15_foot
The protective gear is designed for the hand,09_hand
Elena described a tingling sensation in the chest,04_chest
the coordinator reported numbness spreading from the leg,12_leg
The rash first appeared on the arm,06_arm
The physical therapist worked on mobility of the hip,11_hip
The protective gear is designed for the hip,11_hip
Alice described a tingling sensation in the arm,06_arm
Bob described a tingling sensation in the knee,13_knee
Dr. Okafor reported that the discomfort originated in the foot,15_foot
Liam reported persistent soreness in the head,00_head
Raj reported persistent soreness in the chest,04_chest
Dr. Patel described a tingling sensation in the wrist,08_wrist
Dr. Patel applied ice to reduce inflammation in the face,01_face
Muscle weakness was observed in the hand,09_hand
Dr. Patel applied ice to reduce inflammation in the hand,09_hand
Maria reported numbness spreading from the arm,06_arm
James applied ice to reduce inflammation in the head,00_head
the analyst measured the circumference of the elbow,07_elbow
the postdoc described a tingling sensation in the knee,13_knee
Liam documented bruising on the abdomen,10_abdomen
Alice documented bruising on the shoulder,03_shoulder
Amara reported persistent soreness in the chest,04_chest
Dr. Chen applied ice to reduce inflammation in the shoulder,03_shoulder
the supervisor applied ice to reduce inflammation in the leg,12_leg
the nurse documented bruising on the abdomen,10_abdomen
Fatima noted restricted blood flow to the abdomen,10_abdomen
Dr. Patel described a tingling sensation in the head,00_head
Charlie reported that the discomfort originated in the neck,02_neck
Prof. Müller described a tingling sensation in the arm,06_arm
Charlie reported that the discomfort originated in the hip,11_hip
Charlie noticed visible swelling in the leg,12_leg
The compression sleeve is worn on the elbow,07_elbow
Liam noticed visible swelling in the abdomen,10_abdomen
Amara noted restricted blood flow to the hand,09_hand
Temperature elevation was noted at the ankle,14_ankle
the coordinator reported numbness spreading from the face,01_face
Elena applied ice to reduce inflammation in the face,01_face
The imaging clearly depicted damage to the chest,04_chest
Dr. Okafor described a tingling sensation in the leg,12_leg
Dr. Chen reported persistent soreness in the wrist,08_wrist
Fatima measured the circumference of the ankle,14_ankle
Dr. Smith documented bruising on the hand,09_hand
