expert_id,fisher,task,n_prompts,baseline_accuracy,steered_accuracy,delta_accuracy
1595,785.6015625,current_time,345,0.9072,0.0,-0.9072
3165,157.3928680419922,current_time,552,0.9076,0.0,-0.9076
3304,137.55694580078125,current_time,414,0.9034,0.0,-0.9034
143,134.7518310546875,current_time,552,0.9076,0.0,-0.9076
2289,101.80817413330078,current_time,552,0.9076,0.0,-0.9076
2914,95.10609436035156,current_time,391,0.9079,0.0,-0.9079
3240,93.23335266113281,current_time,506,0.9071,0.0,-0.9071
3974,73.59508514404297,current_time,552,0.9076,0.0,-0.9076
468,72.71025085449219,current_time,322,0.9068,0.0,-0.9068
3315,68.73733520507812,current_time,368,0.9103,0.0,-0.9103
1595,785.6015625,elapsed_time,180,0.9833,0.0,-0.9833
3165,157.3928680419922,elapsed_time,288,0.9792,0.0,-0.9792
3304,137.55694580078125,elapsed_time,216,0.9722,0.0046,-0.9676
143,134.7518310546875,elapsed_time,288,0.9792,0.0035,-0.9757
2289,101.80817413330078,elapsed_time,288,0.9792,0.0035,-0.9757
2914,95.10609436035156,elapsed_time,204,0.9755,0.0049,-0.9706
3240,93.23335266113281,elapsed_time,264,0.9773,0.0038,-0.9735
3974,73.59508514404297,elapsed_time,288,0.9792,0.0035,-0.9757
468,72.71025085449219,elapsed_time,168,0.9881,0.006,-0.9821
3315,68.73733520507812,elapsed_time,192,0.9896,0.0052,-0.9844
