Sentence,Label
Prof. Kim complained the office was sweltering,08_sweltering
the PI complained the office was hot,07_hot
the postdoc measured the soil temperature as boiling,10_boiling
Liam reported the autoclave room as freezing,00_freezing
Fatima said the walk-in cooler felt sweltering,08_sweltering
Fatima complained the office was sweltering,08_sweltering
Kevin noted the sample chamber felt frigid,01_frigid
The climate chamber was set to cool,04_cool
the analyst complained the office was cool,04_cool
the coordinator adjusted the thermostat because it was frigid,01_frigid
Omar adjusted the thermostat because it was cool,04_cool
Omar adjusted the thermostat because it was freezing,00_freezing
Morning readings showed the habitat was freezing,00_freezing
the analyst measured the soil temperature as frigid,01_frigid
Dr. Patel recorded that the growth chamber felt sweltering,08_sweltering
The lab conditions today are warm,06_warm
Charlie adjusted the thermostat because it was chilly,03_chilly
the supervisor reported the autoclave room as hot,07_hot
James noted the sample chamber felt sweltering,08_sweltering
The ventilation output is blowing warm,06_warm
the intern described the cleanroom as freezing,00_freezing
Bob complained the office was cool,04_cool
Maria recorded that the growth chamber felt hot,07_hot
the postdoc described the cleanroom as hot,07_hot
The server room is dangerously sweltering,08_sweltering
Volunteers rated the testing room as boiling,10_boiling
the technician measured the soil temperature as mild,05_mild
The water bath feels cool,04_cool
Prof. Kim flagged that the freezer felt chilly,03_chilly
Kevin noted the sample chamber felt cool,04_cool
Dr. Smith reported the autoclave room as freezing,00_freezing
Kevin complained the office was cool,04_cool
Omar noted the sample chamber felt mild,05_mild
James said the walk-in cooler felt warm,06_warm
the coordinator recorded that the growth chamber felt scorching,09_scorching
Amara noted the sample chamber felt hot,07_hot
Charlie measured the soil temperature as sweltering,08_sweltering
Prof. Kim noted the sample chamber felt frigid,01_frigid
Bob flagged that the freezer felt frigid,01_frigid
Yuki measured the soil temperature as cool,04_cool
the technician noted the sample chamber felt cool,04_cool
the analyst reported the autoclave room as freezing,00_freezing
Bob complained the office was hot,07_hot
The fermentation tank is currently scorching,09_scorching
the supervisor reported the autoclave room as warm,06_warm
Omar noted the sample chamber felt warm,06_warm
Field conditions were hot during collection,07_hot
the PI adjusted the thermostat because it was chilly,03_chilly
Prof. Kim noted the sample chamber felt hot,07_hot
the technician described the cleanroom as sweltering,08_sweltering
Charlie said the walk-in cooler felt hot,07_hot
the PI adjusted the thermostat because it was warm,06_warm
Elena described the cleanroom as hot,07_hot
the nurse complained the office was cool,04_cool
The greenhouse environment is frigid,01_frigid
the analyst noted the sample chamber felt cold,02_cold
Surface readings indicate conditions are boiling,10_boiling
The greenhouse environment is cool,04_cool
Dr. Okafor described the cleanroom as hot,07_hot
the nurse said the walk-in cooler felt mild,05_mild
Dr. Smith reported the autoclave room as boiling,10_boiling
The drying chamber atmosphere is hot,07_hot
Dr. Rossi measured the soil temperature as sweltering,08_sweltering
Yuki complained the office was hot,07_hot
the technician said the walk-in cooler felt frigid,01_frigid
Amara recorded that the growth chamber felt scorching,09_scorching
