Sentence,Label,target_log_seconds
Omar recorded the duration as one day,04_day,4.936513742478893
Elena reported latency of approximately one hour,03_hour,3.5563025007672873
the technician reported latency of approximately one year,07_year,7.498806606935368
The clock ticks once per century,09_century,9.498806606935368
Elena confirmed the lag was under one decade,08_decade,8.498806606935368
the supervisor set the experiment timer for one minute,02_minute,1.7781512503836436
the technician noted the delay was about one minute,02_minute,1.7781512503836436
Kevin reported latency of approximately one minute,02_minute,1.7781512503836436
the analyst calculated the half-life as roughly one hour,03_hour,3.5563025007672873
the nurse confirmed the lag was under one week,05_week,5.78161178249315
Prof. Wang budgeted resources by the century,09_century,9.498806606935368
the supervisor set the experiment timer for one day,04_day,4.936513742478893
the supervisor recorded the duration as one year,07_year,7.498806606935368
The cache refreshes every month,06_month,6.419625360887744
the coordinator recorded the duration as one minute,02_minute,1.7781512503836436
the postdoc budgeted resources by the minute,02_minute,1.7781512503836436
the nurse reported latency of approximately one minute,02_minute,1.7781512503836436
Dr. Smith confirmed the lag was under one decade,08_decade,8.498806606935368
Maria measured the response time in one day,04_day,4.936513742478893
Dr. Rossi noted the delay was about one minute,02_minute,1.7781512503836436
Raj set the experiment timer for one second,01_second,0.0
The process is measured in units of one millisecond,00_millisecond,-3.0
Fatima noted the delay was about one year,07_year,7.498806606935368
Yuki budgeted resources by the century,09_century,9.498806606935368
Omar recorded the duration as one week,05_week,5.78161178249315
The simulation advances by one decade,08_decade,8.498806606935368
Fatima budgeted resources by the millisecond,00_millisecond,-3.0
The standard interval for this assay is one week,05_week,5.78161178249315
The process is measured in units of one day,04_day,4.936513742478893
The oscillation period measures one year,07_year,7.498806606935368
Dr. Chen set the experiment timer for one week,05_week,5.78161178249315
The reaction completes in exactly one week,05_week,5.78161178249315
Dr. Chen set the experiment timer for one decade,08_decade,8.498806606935368
the nurse reported latency of approximately one millisecond,00_millisecond,-3.0
Prof. Wang measured the response time in one year,07_year,7.498806606935368
the analyst recorded the duration as one year,07_year,7.498806606935368
Prof. Wang confirmed the lag was under one decade,08_decade,8.498806606935368
the nurse noted the delay was about one hour,03_hour,3.5563025007672873
