Sentence,Label,target_day,target_sin_7d,target_cos_7d,target_is_weekend,target_is_weekday
The clinical trial phase begins this Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Kevin is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Prof. Müller scheduled the MRI scan for Monday,00_Monday,0,0.0,1.0,0,1
The lab will be closed for the holiday on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Charlie is responsible for the morning rounds on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Dr. Patel will finalize the PCR results on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
James noted a discrepancy in the logs from Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Prof. Kim will finalize the PCR results on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Sarah noted a discrepancy in the logs from Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Charlie will finalize the PCR results on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Prof. Müller is responsible for the morning rounds on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Fatima is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Re-calibrate the mass spectrometer on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
James is responsible for the morning rounds on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Dr. Smith is presenting the literature review on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Maria will finalize the PCR results on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Fatima noted a discrepancy in the logs from Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
the PI will finalize the PCR results on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Maria is responsible for the morning rounds on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
the supervisor is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Sarah will finalize the PCR results on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Alice will finalize the PCR results on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
the coordinator will finalize the PCR results on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Raj noted a discrepancy in the logs from Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Bob is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Charlie scheduled the MRI scan for Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Dr. Rossi scheduled the MRI scan for Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Alice noted a discrepancy in the logs from Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
The sample size will be recalculated on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Omar is responsible for the morning rounds on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the intern will finalize the PCR results on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Submit the grant proposal before Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Dr. Patel will finalize the PCR results on Monday,00_Monday,0,0.0,1.0,0,1
Prof. Kim scheduled the MRI scan for Monday,00_Monday,0,0.0,1.0,0,1
Dr. Patel is presenting the literature review on Monday,00_Monday,0,0.0,1.0,0,1
Dr. Chen will finalize the PCR results on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Maria noted a discrepancy in the logs from Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Check the titration levels again on Monday,00_Monday,0,0.0,1.0,0,1
Raj noted a discrepancy in the logs from Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
the coordinator scheduled the MRI scan for Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Bob is responsible for the morning rounds on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Prof. Kim noted a discrepancy in the logs from Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
the analyst scheduled the MRI scan for Monday,00_Monday,0,0.0,1.0,0,1
Amara noted a discrepancy in the logs from Monday,00_Monday,0,0.0,1.0,0,1
the analyst will finalize the PCR results on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Prof. Müller is presenting the literature review on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Fatima scheduled the MRI scan for Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Charlie is presenting the literature review on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Dr. Patel will finalize the PCR results on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Dr. Okafor is presenting the literature review on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Dr. Smith is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Check the titration levels again on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
the coordinator is responsible for the morning rounds on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Dr. Okafor is presenting the literature review on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Amara scheduled the MRI scan for Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Dr. Chen is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Sarah will finalize the PCR results on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
