Sentence,Label
the technician noted a discrepancy in the logs from Wednesday,02_Wednesday
Yuki noted a discrepancy in the logs from Saturday,05_Saturday
Maria is responsible for the morning rounds on Thursday,03_Thursday
Dr. Chen will finalize the PCR results on Monday,00_Monday
Dr. Rossi scheduled the MRI scan for Tuesday,01_Tuesday
Omar is presenting the literature review on Saturday,05_Saturday
Prof. Müller is presenting the literature review on Sunday,06_Sunday
the supervisor will finalize the PCR results on Tuesday,01_Tuesday
Fatima will finalize the PCR results on Tuesday,01_Tuesday
Please ensure the incubator is cleaned by Monday,00_Monday
Liam will finalize the PCR results on Friday,04_Friday
the analyst will finalize the PCR results on Sunday,06_Sunday
Our collaborator is visiting the facility on Wednesday,02_Wednesday
the PI scheduled the MRI scan for Sunday,06_Sunday
Raj noted a discrepancy in the logs from Wednesday,02_Wednesday
The shipment of reagents is scheduled for Wednesday,02_Wednesday
the intern is responsible for the morning rounds on Friday,04_Friday
The longitudinal study concludes on Wednesday,02_Wednesday
the postdoc scheduled the MRI scan for Tuesday,01_Tuesday
Raj will finalize the PCR results on Wednesday,02_Wednesday
Liam is responsible for the morning rounds on Saturday,05_Saturday
Dr. Okafor noted a discrepancy in the logs from Friday,04_Friday
Liam scheduled the MRI scan for Wednesday,02_Wednesday
Dr. Rossi scheduled the MRI scan for Thursday,03_Thursday
Sarah noted a discrepancy in the logs from Friday,04_Friday
The chemical waste pickup is every Sunday,06_Sunday
Elena will finalize the PCR results on Friday,04_Friday
Dr. Rossi is presenting the literature review on Saturday,05_Saturday
The microscope calibration is due on Wednesday,02_Wednesday
The liquid nitrogen refill happens on Friday,04_Friday
The shipment of reagents is scheduled for Monday,00_Monday
Yuki will finalize the PCR results on Saturday,05_Saturday
the PI scheduled the MRI scan for Tuesday,01_Tuesday
Bob scheduled the MRI scan for Sunday,06_Sunday
the supervisor is presenting the literature review on Monday,00_Monday
Raj scheduled the MRI scan for Sunday,06_Sunday
Prof. Müller is presenting the literature review on Friday,04_Friday
Prof. Müller scheduled the MRI scan for Thursday,03_Thursday
the supervisor is responsible for the morning rounds on Saturday,05_Saturday
James will finalize the PCR results on Sunday,06_Sunday
Kevin noted a discrepancy in the logs from Saturday,05_Saturday
the nurse is responsible for the morning rounds on Thursday,03_Thursday
Elena will finalize the PCR results on Thursday,03_Thursday
Prof. Wang is presenting the literature review on Friday,04_Friday
The department seminar is hosted on Saturday,05_Saturday
Omar noted a discrepancy in the logs from Sunday,06_Sunday
Liam scheduled the MRI scan for Monday,00_Monday
the nurse is presenting the literature review on Tuesday,01_Tuesday
James is presenting the literature review on Thursday,03_Thursday
Bob noted a discrepancy in the logs from Saturday,05_Saturday
Elena noted a discrepancy in the logs from Wednesday,02_Wednesday
Kevin will finalize the PCR results on Thursday,03_Thursday
Kevin scheduled the MRI scan for Monday,00_Monday
Dr. Smith is presenting the literature review on Monday,00_Monday
Amara scheduled the MRI scan for Monday,00_Monday
the supervisor is responsible for the morning rounds on Tuesday,01_Tuesday
the coordinator noted a discrepancy in the logs from Saturday,05_Saturday
Yuki is presenting the literature review on Monday,00_Monday
Alice will finalize the PCR results on Sunday,06_Sunday
Fatima noted a discrepancy in the logs from Saturday,05_Saturday
Sarah noted a discrepancy in the logs from Wednesday,02_Wednesday
the nurse is responsible for the morning rounds on Friday,04_Friday
the nurse scheduled the MRI scan for Monday,00_Monday
Amara noted a discrepancy in the logs from Monday,00_Monday
Sarah is presenting the literature review on Wednesday,02_Wednesday
Prof. Kim is responsible for the morning rounds on Monday,00_Monday
Dr. Smith is presenting the literature review on Friday,04_Friday
Sarah noted a discrepancy in the logs from Thursday,03_Thursday
the postdoc is responsible for the morning rounds on Thursday,03_Thursday
Dr. Smith noted a discrepancy in the logs from Monday,00_Monday
The statistical analysis will be performed on Thursday,03_Thursday
Liam scheduled the MRI scan for Sunday,06_Sunday
Dr. Okafor is presenting the literature review on Monday,00_Monday
Sarah scheduled the MRI scan for Tuesday,01_Tuesday
The lab will be closed for the holiday on Thursday,03_Thursday
Dr. Okafor noted a discrepancy in the logs from Monday,00_Monday
The department seminar is hosted on Sunday,06_Sunday
Liam noted a discrepancy in the logs from Tuesday,01_Tuesday
Omar is presenting the literature review on Monday,00_Monday
Liam noted a discrepancy in the logs from Saturday,05_Saturday
Dr. Chen scheduled the MRI scan for Monday,00_Monday
Prof. Müller will finalize the PCR results on Sunday,06_Sunday
Maria scheduled the MRI scan for Tuesday,01_Tuesday
Dr. Patel is presenting the literature review on Tuesday,01_Tuesday
Amara is presenting the literature review on Wednesday,02_Wednesday
Prof. Wang will finalize the PCR results on Sunday,06_Sunday
Re-calibrate the mass spectrometer on Wednesday,02_Wednesday
We will start the sequencing run on Monday,00_Monday
Elena will finalize the PCR results on Wednesday,02_Wednesday
Are we still on track for the launch this Friday,04_Friday
the supervisor is presenting the literature review on Friday,04_Friday
Check the titration levels again on Sunday,06_Sunday
