task,src_hour,tgt_hour,start_hour,expected_hours,steered_expected_hours,prompt,baseline_pred,steered_pred,baseline_correct,steered_correct
current_time,1AM,2AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Alex asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,3AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Sam asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,4AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,5AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,6AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,7AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Alex asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,8AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Sam asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,9AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,10AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,11AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,12PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Alex asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,1PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Sam asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,2PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,3PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,4PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,5PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Alex asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,6PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Sam asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,7PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,8PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",1AM,1AM,True,False
