Sentence,Label,target_temp_f,target_log_temp_f
The climate chamber was set to 1°F,1,1.0,0.6931471805599453
Elena reported the autoclave room at 86°F,86,86.0,4.465908118654584
The ventilation output measured 103°F,103,103.0,4.6443908991413725
Patients reported feeling uncomfortable when the room reached 117°F,117,117.0,4.770684624465665
The reactor core temperature read 3°F,3,3.0,1.3862943611198906
Dr. Patel recorded the growth chamber at 50°F,50,50.0,3.9318256327243257
The fermentation tank held at 157°F,157,157.0,5.062595033026967
The reactor core temperature read 169°F,169,169.0,5.135798437050262
The drying chamber atmosphere registered 17°F,17,17.0,2.8903717578961645
The curing oven was running at 18°F,18,18.0,2.9444389791664403
Prof. Müller reported the autoclave room at 105°F,105,105.0,4.663439094112067
Dr. Okafor said the walk-in cooler was holding at 107°F,107,107.0,4.68213122712422
The bioreactor jacket temperature read 180°F,180,180.0,5.198497031265826
Field conditions were recorded at 76°F during collection,76,76.0,4.343805421853684
The drying chamber atmosphere registered 178°F,178,178.0,5.187385805840755
Morning readings showed the habitat at 122°F,122,122.0,4.812184355372417
The greenhouse environment stabilized at 102°F,102,102.0,4.634728988229636
the intern said the walk-in cooler was holding at 193°F,193,193.0,5.267858159063328
Outside the thermometer read 130°F,130,130.0,4.875197323201151
Dr. Okafor reported the autoclave room at 168°F,168,168.0,5.1298987149230735
Ambient conditions in the corridor measured 157°F,157,157.0,5.062595033026967
The storage unit is running at 18°F,18,18.0,2.9444389791664403
The lab conditions today measured 138°F,138,138.0,4.9344739331306915
The greenhouse environment stabilized at 97°F,97,97.0,4.584967478670572
Dr. Chen complained the office was showing 176°F on the thermostat,176,176.0,5.176149732573829
Bob noted the sample chamber registered 148°F,148,148.0,5.003946305945459
Omar said the walk-in cooler was holding at 205°F,205,205.0,5.327876168789581
The greenhouse environment stabilized at 184°F,184,184.0,5.220355825078324
the coordinator flagged that the freezer was reading 30°F,30,30.0,3.4339872044851463
The reagent shelf area registered 124°F,124,124.0,4.8283137373023015
Ambient conditions in the corridor measured 156°F,156,156.0,5.056245805348308
the supervisor described the cleanroom as holding steady at 95°F,95,95.0,4.564348191467836
